name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boulder,2023-02-14,50.1,28.4,39.1,50.1,19.8,34.9,15.7,40.5,0,0,0,"rain,snow",0.6,0,36.9,22.9,168.8,993.8,22.3,9.9,180.1,15.5,7,10,2023-02-14T06:55:26,2023-02-14T17:35:45,0.81,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-15,24.9,12.4,16,24.9,0.8,9.4,12.3,85.3,0.082,100,20.83,snow,13,2.8,16.1,12.5,26.1,1014.4,100,1.9,15.3,1.3,1,10,2023-02-15T06:54:10,2023-02-15T17:36:56,0.84,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"KLMO,72038500419,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-16,32.1,8.2,19.3,27.8,1.6,16.5,6.5,62.1,0.001,100,4.17,snow,0.2,2.2,18.3,7.5,165.9,1020.5,23.1,9.3,173.9,14.9,7,10,2023-02-16T06:52:53,2023-02-16T17:38:06,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-17,49.4,15.2,32.2,46.7,9.8,30,10.2,45.6,0,0,0,,0,0.1,20.8,15.5,259.9,1019.9,0,9.9,193.5,16.5,7,10,2023-02-17T06:51:34,2023-02-17T17:39:17,0.91,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-18,53.9,38.7,45.4,53.9,35.3,42.4,3.1,17.6,0,0,0,,0,0,30,21.8,259.9,1011.4,0,9.9,142.8,12.4,6,10,2023-02-18T06:50:15,2023-02-18T17:40:27,0.95,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-19,46.6,37.6,43.1,44.6,27.7,36.9,12.1,28.8,0,0,0,,0,0,48.3,22,251.4,1010,21.9,9.9,170.9,14.7,6,10,2023-02-19T06:48:54,2023-02-19T17:41:36,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-20,54,41.6,48.3,54,35.9,45.6,16.9,28.6,0,0,0,,0,0,45,21.2,16.6,1007.1,1.9,9.9,131.2,11.3,6,10,2023-02-20T06:47:33,2023-02-20T17:42:45,0,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-21,62.9,33.2,46,62.9,29.3,43.8,22.8,42.5,0.001,100,4.17,rain,0,0,45,18.4,77.7,995.9,17.5,9.9,160.8,13.8,8,10,2023-02-21T06:46:10,2023-02-21T17:43:54,0.05,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-22,34,-2.1,10.3,34,-12.7,-0.2,5.6,80.9,0.095,100,16.67,"rain,snow",9.8,3.4,26.3,18.1,42.9,999.3,98.9,4.1,24.9,2,1,10,2023-02-22T06:44:47,2023-02-22T17:45:03,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164,C7944"
Boulder,2023-02-23,8.7,-9.1,0.4,8.7,-17.5,-4.4,-7.2,70.7,0.003,100,4.17,snow,0.3,5.6,9.2,4.6,42,1014.7,60,9.3,70.6,6.2,2,10,2023-02-23T06:43:22,2023-02-23T17:46:12,0.11,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164,C7944"
Boulder,2023-02-24,41.2,-0.7,17.8,34.3,-0.7,15.6,5.5,62,0,0,0,,0,4.9,25.3,17.2,233.5,1018.3,17.5,9.7,184.3,15.8,6,10,2023-02-24T06:41:57,2023-02-24T17:47:20,0.15,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-25,60.7,17.4,38.2,60.7,11.5,37,19.5,51.7,0,0,0,,0,1.9,28.9,20.3,251.5,1015.6,0,9.9,195.5,16.8,7,10,2023-02-25T06:40:30,2023-02-25T17:48:27,0.18,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-26,53.7,29.9,41.7,53.7,29.4,40.7,22,48.6,0,0,0,,0,0,39.1,18,285.3,1001.4,6.4,9.9,189.4,16.3,7,10,2023-02-26T06:39:03,2023-02-26T17:49:35,0.21,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,ATC01,KBDU,72053800164,C7944"
Boulder,2023-02-27,50.1,33.8,42.4,50.1,29.7,37,11.6,28.5,0,0,0,,0,0,45,31.5,260.7,1005.3,0,9.9,250.2,21.6,7,10,2023-02-27T06:37:35,2023-02-27T17:50:42,0.25,Clear,Clear conditions throughout the day.,wind,"KLMO,D5993,72053300160,ATC01,KBDU,C7944,72053800164"
Boulder,2023-02-28,50.1,31.6,37.4,50.1,22.9,30.5,10.2,32.9,0,0,0,,0,0,32.7,22.6,250.1,1003.1,19.9,9.9,200,17.3,7,10,2023-02-28T06:36:07,2023-02-28T17:51:49,0.28,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,ATC01,KBDU,C7944,72053800164"
Boulder,2023-03-01,33.8,22.9,29.6,28.1,15.9,24.2,14.7,59,0,0,0,"rain,snow",1.4,0.1,18.3,14.5,340.4,1007.7,50.2,9.5,102.5,8.7,4,10,2023-03-01T06:34:37,2023-03-01T17:52:55,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,C7944,72053800164"
Boulder,2023-03-02,50,20.9,33.4,50,14.5,31.5,20.9,66,0.001,100,4.17,"rain,snow",0.1,0.2,20.8,10.1,35.2,1006.4,0.3,9.9,211.2,18.1,7,10,2023-03-02T06:33:07,2023-03-02T17:54:01,0.34,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,snow,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-03-03,46.4,28.1,35.5,45.5,22,33.2,23.3,63.3,0.039,100,8.33,rain,0,0,21.9,12.4,5.3,1005.3,54.1,9.9,106.6,9.1,6,10,2023-03-03T06:31:36,2023-03-03T17:55:07,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-03-04,39.3,25,31.3,39.3,18.6,28.1,24.7,78.5,0,0,0,,0,0,12.8,8.2,14.9,1010.4,52.8,7.3,134.7,11.7,7,10,2023-03-04T06:30:05,2023-03-04T17:56:13,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-03-05,53.8,21.3,37.2,53.8,17,34,18.1,53.2,0,0,0,,0,0,31.1,14.9,184.2,1007.3,22.1,9.8,177.8,15.3,6,10,2023-03-05T06:28:33,2023-03-05T17:57:18,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-03-06,44.7,22.9,34.7,41.9,22.9,31.4,17,51.2,0,0,0,,0,0,19.7,11.2,100.8,1016.1,24.5,9.9,214.6,18.2,7,10,2023-03-06T06:27:00,2023-03-06T17:58:23,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-03-07,33.9,28.4,30.4,32.2,19.8,26.4,24.8,80.8,0,0,0,,0,0,9.2,9.2,13.7,1018.5,95.5,8.5,42.9,3.8,2,10,2023-03-07T06:25:27,2023-03-07T17:59:28,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-03-08,35.9,30.3,32.4,35.7,23.5,29.7,26.2,79,0,0,0,,0,0,12.8,7.1,25.7,1017.9,99.1,9.2,57,4.9,2,10,2023-03-08T06:23:53,2023-03-08T18:00:33,0.54,Overcast,Cloudy skies throughout the day.,cloudy,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-03-09,53.8,28.4,39.6,53.8,22.2,35.9,17.1,52.5,0,0,0,,0,0,40.3,24.5,271,1017.2,25,8.1,231.2,19.9,8,10,2023-03-09T06:22:19,2023-03-09T18:01:37,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-03-10,58.7,28.3,42,58.7,21.9,41.2,28.5,65.1,0,0,0,,0,0,34.4,18.8,223.4,1008.2,36.6,9,159,13.8,7,10,2023-03-10T06:20:44,2023-03-10T18:02:41,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-03-11,55.7,35.6,46.7,55.7,29.9,44.9,21.3,41.3,0,0,0,,0,0,27.7,20.5,259.7,1007,25.7,9.9,234.7,20.2,8,10,2023-03-11T06:19:09,2023-03-11T18:03:45,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-03-12,41.2,26.5,32.7,41.2,22.4,30.1,20.5,61.8,0,0,0,,0,0,11.4,6.5,50.4,1017.5,80.7,9.9,148.9,12.3,7,10,2023-03-12T07:17:34,2023-03-12T19:04:48,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
